"","GSM1045517","GSM1045518","GSM1045519","GSM1045520","GSM1045521","GSM1045522","GSM1045523","GSM1045524","GSM1045525","GSM1045526","GSM1045527","GSM1045528","GSM1045529"
"8138145",8.352557,8.054693,8.214047,8.119078,8.192862,7.815256,8.021452,7.866691,7.866233,7.431542,7.276988,7.464827,7.415836
"8138147",8.072056,8.02797,8.449474,8.58615,8.362963,8.410772,8.632124,7.959565,7.955297,8.030381,7.801795,7.651011,7.994597
"8138151",8.033638,7.823228,8.041882,8.046996,8.093158,7.733333,7.759736,7.637563,7.528757,7.431838,7.157428,7.244938,7.372954
"8138155",5.99675,4.923595,4.923595,4.982656,5.202361,5.289352,5.256348,4.029209,4.923595,4.426943,4.923595,4.669396,4.468048
"8138157",5.478157,5.350071,5.742355,5.875293,5.996884,5.558498,5.304622,4.981437,4.797637,5.472383,5.341294,5.3378,5.216463
"8138189",6.422043,6.07339,6.147603,6.098104,6.111167,6.102597,6.231663,6.607325,5.891588,5.81676,6.087643,6.336474,5.997949
"8138202",3.689718,3.493681,3.403025,3.521342,3.567928,3.361628,3.392905,3.392905,2.919056,3.46575,3.392905,3.392905,3.170374
"8138224",8.85807,8.840307,8.804111,8.743602,8.794171,8.942002,8.865582,8.95921,8.689874,8.36869,8.55253,8.823604,8.771015
"8138231",4.390647,4.342791,4.840038,4.158471,4.647168,4.26742,4.813954,4.085889,3.574126,4.342791,3.989971,4.257858,4.236232
"8138258",3.634595,3.513474,3.323952,3.667974,3.732457,3.425801,3.479148,3.446751,3.22314,3.588643,3.172003,3.479148,3.479148
"8138277",3.676963,3.631807,3.077608,3.147061,2.933839,3.119627,2.981393,2.80931,2.567628,2.87156,2.957703,2.471877,2.89652
"8138287",3.925362,3.407845,3.833551,3.51389,3.464265,3.877745,3.614026,3.407408,3.258024,3.775956,3.407845,3.400306,3.846009
"8138289",4.788266,6.360945,4.906527,4.225989,5.545734,4.534604,3.999412,8.010155,5.095348,4.517334,5.545576,4.946199,4.694287
"8138308",2.403014,1.626042,1.415771,1.344885,2.083962,1.627851,1.717957,1.588668,2.842152,1.70183,1.587503,1.382594,1.958873
"8138310",3.466413,3.484013,3.423264,3.671097,3.095814,3.435185,3.409725,3.566712,3.335668,3.414066,3.328346,3.009739,3.396787
"8138337",3.349545,2.900821,2.820687,2.992577,3.44071,2.80265,2.949971,2.812114,2.898819,2.902823,2.831541,2.510105,2.741436
"8138353",6.037107,5.80609,6.113131,5.849303,5.978508,5.80609,5.80609,5.648807,5.457717,5.917288,5.736616,5.77249,5.728927
"8138361",9.484224,9.905133,10.63449,9.717809,9.360924,9.656115,10.0337,10.19645,9.816097,9.508781,10.3353,9.938618,9.779784
"8138363",3.074888,3.020311,3.214113,2.994023,3.905697,2.895812,3.136807,2.651604,2.407465,3.001383,3.121481,2.815962,2.807001
"8138370",8.104918,7.378894,7.003065,7.441771,7.649796,7.484004,7.825921,8.085859,7.800089,7.603053,7.673879,8.136709,7.612185
"8138381",3.384033,2.965433,3.22422,3.337102,3.008674,2.866685,3.006624,2.72247,3.036379,2.744295,2.71965,2.338831,2.778333
"8138392",2.495678,2.325097,2.342554,2.513286,2.73015,2.369884,2.537348,2.255302,2.508158,2.165014,2.189151,2.253911,2.697288
